order_id,user_id,order_ts,is_promo,discount_rate,promo_id
O_1,2635,2022-04-27 09:35:30,0,0.0,
O_2,3109,2022-01-27 10:29:57,0,0.0,
O_3,3109,2022-02-17 11:12:33,0,0.0,
O_4,6265,2022-04-02 19:58:03,0,0.0,
O_5,7008,2022-01-27 08:15:09,0,0.0,
O_6,7629,2022-06-27 08:51:21,0,0.0,
O_7,13906,2022-06-21 19:29:26,0,0.0,
O_8,16348,2022-02-17 18:00:26,0,0.0,
O_9,19551,2022-02-22 10:05:06,0,0.0,
O_10,19551,2022-06-23 18:16:54,0,0.0,
O_11,19596,2022-01-19 13:03:18,0,0.0,
O_12,22758,2022-03-13 12:57:20,0,0.0,
O_13,4403,2022-05-21 09:48:45,0,0.0,
O_14,5466,2022-01-03 08:11:34,0,0.0,
O_15,5858,2022-01-06 21:31:13,0,0.0,
O_16,5858,2022-02-02 22:14:01,0,0.0,
O_17,8867,2022-02-18 14:23:03,0,0.0,
O_18,21717,2022-03-06 17:46:03,0,0.0,
O_19,24414,2022-04-02 13:23:58,0,0.0,
O_20,25909,2022-01-14 08:53:11,0,0.0,
O_21,25909,2022-01-16 08:11:17,0,0.0,
O_22,25909,2022-06-10 17:35:52,0,0.0,
O_23,596,2022-01-24 19:34:56,0,0.0,
O_24,1706,2022-03-31 09:07:31,0,0.0,
O_25,2724,2022-06-15 21:21:17,0,0.0,
O_26,6452,2022-01-30 08:48:30,0,0.0,
O_27,10885,2022-05-25 19:57:34,0,0.0,
O_28,12469,2022-05-25 12:15:07,0,0.0,
O_29,13944,2022-02-25 17:12:37,0,0.0,
O_30,23966,2022-01-04 19:10:07,0,0.0,
O_31,24266,2022-01-09 19:16:22,0,0.0,
O_32,26226,2022-04-20 22:17:48,0,0.0,
O_33,28806,2022-03-02 15:35:13,0,0.0,
O_34,3131,2022-03-25 14:28:36,0,0.0,
O_35,3861,2022-04-21 13:14:25,0,0.0,
O_36,9149,2022-02-17 10:25:31,0,0.0,
O_37,11263,2022-05-24 22:00:34,0,0.0,
O_38,11857,2022-04-07 13:17:06,0,0.0,
O_39,12780,2022-02-06 08:56:16,0,0.0,
O_40,15654,2022-03-15 20:10:35,0,0.0,
O_41,15654,2022-03-25 12:11:59,0,0.0,
O_42,17217,2022-04-02 15:40:53,0,0.0,
