order_item_id,order_id,user_id,product_id,quantity,unit_price,is_promo,discount_rate,final_unit_price,line_amount
OI_1,O_1,2635,PR00061,1,27000.0,0,0.0,27000.0,27000.0
OI_2,O_1,2635,PR00029,1,392000.0,0,0.0,392000.0,392000.0
OI_3,O_1,2635,PR00158,1,9000.0,0,0.0,9000.0,9000.0
OI_4,O_2,3109,PR00135,1,31000.0,0,0.0,31000.0,31000.0
OI_5,O_2,3109,PR00227,1,252000.0,0,0.0,252000.0,252000.0
OI_6,O_2,3109,PR00028,1,305000.0,0,0.0,305000.0,305000.0
OI_7,O_2,3109,PR00068,1,25000.0,0,0.0,25000.0,25000.0
OI_8,O_3,3109,PR00150,1,726000.0,0,0.0,726000.0,726000.0
OI_9,O_3,3109,PR00140,1,386000.0,0,0.0,386000.0,386000.0
OI_10,O_3,3109,PR00109,2,234000.0,0,0.0,234000.0,468000.0
OI_11,O_4,6265,PR00047,1,103000.0,0,0.0,103000.0,103000.0
OI_12,O_5,7008,PR00139,1,9000.0,0,0.0,9000.0,9000.0
OI_13,O_6,7629,PR00039,1,70000.0,0,0.0,70000.0,70000.0
OI_14,O_7,13906,PR00229,1,21000.0,0,0.0,21000.0,21000.0
OI_15,O_7,13906,PR00249,1,91000.0,0,0.0,91000.0,91000.0
OI_16,O_7,13906,PR00131,1,264000.0,0,0.0,264000.0,264000.0
OI_17,O_8,16348,PR00117,1,36000.0,0,0.0,36000.0,36000.0
OI_18,O_9,19551,PR00012,1,13000.0,0,0.0,13000.0,13000.0
OI_19,O_9,19551,PR00035,1,17000.0,0,0.0,17000.0,17000.0
OI_20,O_9,19551,PR00074,1,271000.0,0,0.0,271000.0,271000.0
OI_21,O_9,19551,PR00042,1,22000.0,0,0.0,22000.0,22000.0
OI_22,O_10,19551,PR00105,1,19000.0,0,0.0,19000.0,19000.0
OI_23,O_10,19551,PR00141,1,48000.0,0,0.0,48000.0,48000.0
OI_24,O_11,19596,PR00247,1,12000.0,0,0.0,12000.0,12000.0
OI_25,O_12,22758,PR00018,1,244000.0,0,0.0,244000.0,244000.0
OI_26,O_12,22758,PR00152,1,18000.0,0,0.0,18000.0,18000.0
OI_27,O_13,4403,PR00101,1,13000.0,0,0.0,13000.0,13000.0
OI_28,O_14,5466,PR00007,1,16000.0,0,0.0,16000.0,16000.0
OI_29,O_14,5466,PR00271,1,211000.0,0,0.0,211000.0,211000.0
OI_30,O_15,5858,PR00072,1,32000.0,0,0.0,32000.0,32000.0
OI_31,O_16,5858,PR00091,1,164000.0,0,0.0,164000.0,164000.0
OI_32,O_17,8867,PR00290,1,160000.0,0,0.0,160000.0,160000.0
OI_33,O_17,8867,PR00228,1,11000.0,0,0.0,11000.0,11000.0
OI_34,O_17,8867,PR00080,1,20000.0,0,0.0,20000.0,20000.0
OI_35,O_18,21717,PR00217,1,146000.0,0,0.0,146000.0,146000.0
OI_36,O_18,21717,PR00215,1,21000.0,0,0.0,21000.0,21000.0
OI_37,O_19,24414,PR00195,1,247000.0,0,0.0,247000.0,247000.0
OI_38,O_19,24414,PR00175,1,375000.0,0,0.0,375000.0,375000.0
OI_39,O_19,24414,PR00042,1,22000.0,0,0.0,22000.0,22000.0
