user_id,signup_date,exp_cell,has_order_0_13,orders_0_13,active_days_0_60,gap_cv_0_60,gap_cnt_0_60,revenue_60_180,orders_60_180,has_purchase_60_180
UA_000001,2025-01-07,TC,FALSE,0,13,1.472569221,12,0,0,FALSE
UA_000002,2025-01-07,CC,FALSE,0,6,1.31174655,5,0,0,FALSE
UA_000003,2025-01-07,TC,FALSE,0,3,1.157083824,2,0,0,FALSE
UA_000004,2025-01-07,TC,FALSE,0,9,0.556183134,8,0,0,FALSE
UA_000005,2025-01-07,TC,FALSE,0,6,1.325162391,5,0,0,FALSE
UA_000006,2025-01-07,TC,TRUE,1,19,0.947686258,18,1803000,3,TRUE
UA_000007,2025-01-07,TT,FALSE,0,4,0.936095887,3,0,0,FALSE
UA_000008,2025-01-07,CT,FALSE,0,12,0.840083208,11,0,0,FALSE
UA_000009,2025-01-07,CC,FALSE,0,8,0.885520297,7,0,0,FALSE
UA_000010,2025-01-07,TT,FALSE,0,9,0.760202179,8,0,0,FALSE
UA_000011,2025-01-07,TC,FALSE,0,2,,1,0,0,FALSE
UA_000012,2025-01-07,TC,FALSE,0,7,0.774596669,6,0,0,FALSE
UA_000013,2025-01-07,TC,TRUE,1,14,1.123263796,13,0,0,FALSE
UA_000014,2025-01-07,CT,FALSE,0,9,0.629828649,8,392000,1,TRUE
UA_000015,2025-01-07,CT,FALSE,0,1,,,0,0,FALSE
UA_000016,2025-01-07,TC,FALSE,0,9,1.337535553,8,0,0,FALSE
UA_000017,2025-01-07,CT,FALSE,0,2,,1,0,0,FALSE
UA_000018,2025-01-07,CC,FALSE,0,21,1.208231102,20,421000,1,TRUE
UA_000019,2025-01-07,TT,FALSE,0,13,0.655953706,12,0,0,FALSE
UA_000020,2025-01-07,TC,FALSE,0,7,1.236763372,6,0,0,FALSE
UA_000021,2025-01-07,CT,FALSE,0,10,1.289218301,9,0,0,FALSE
UA_000022,2025-01-07,TC,FALSE,0,15,0.944351158,14,0,0,FALSE
UA_000023,2025-01-07,TT,FALSE,0,7,0.904429699,6,12000,1,TRUE
UA_000024,2025-01-07,TC,FALSE,0,10,0.860519283,9,0,0,FALSE
UA_000025,2025-01-07,TC,FALSE,0,17,1.736713954,16,244000,1,TRUE
UA_000026,2025-01-07,TT,FALSE,0,6,0.906957725,5,0,0,FALSE
UA_000027,2025-01-07,TT,FALSE,0,2,,1,0,0,FALSE
UA_000028,2025-01-07,CC,FALSE,0,3,0.754247233,2,0,0,FALSE
UA_000029,2025-01-07,CT,FALSE,0,8,1.195112195,7,0,0,FALSE
UA_000030,2025-01-08,TT,TRUE,1,13,0.851291984,12,0,0,FALSE
UA_000031,2025-01-08,CC,TRUE,1,9,1.010511115,8,0,0,FALSE
UA_000032,2025-01-08,CC,FALSE,0,3,0.44446712,2,0,0,FALSE
UA_000033,2025-01-08,CC,FALSE,0,11,0.867005446,10,0,0,FALSE
UA_000034,2025-01-08,CT,FALSE,0,9,0.823470884,8,0,0,FALSE
UA_000035,2025-01-08,TC,FALSE,0,8,1.022549554,7,196000,2,TRUE
UA_000036,2025-01-08,CT,FALSE,0,0,,,0,0,FALSE
UA_000037,2025-01-08,CC,FALSE,0,4,0.506813086,3,0,0,FALSE
UA_000038,2025-01-08,TC,FALSE,0,7,1.524998306,6,0,0,FALSE
UA_000039,2025-01-08,CT,FALSE,0,11,1.012072425,10,0,0,FALSE
UA_000040,2025-01-08,TT,FALSE,0,14,1.068672422,13,0,0,FALSE
UA_000041,2025-01-08,TC,TRUE,1,18,0.955730884,17,0,0,FALSE
UA_000042,2025-01-08,TC,FALSE,0,2,,1,0,0,FALSE
UA_000043,2025-01-08,CC,FALSE,0,4,0.78062475,3,0,0,FALSE
UA_000044,2025-01-08,TT,FALSE,0,3,0,2,0,0,FALSE
UA_000045,2025-01-08,TC,FALSE,0,7,0.518773092,6,157000,1,TRUE
UA_000046,2025-01-08,TC,FALSE,0,1,,,0,0,FALSE
UA_000047,2025-01-08,CC,FALSE,0,10,0.56929757,9,0,0,FALSE
UA_000048,2025-01-08,CC,FALSE,0,4,0.575237747,3,0,0,FALSE
UA_000049,2025-01-08,CT,FALSE,0,12,0.911127929,11,0,0,FALSE
UA_000050,2025-01-08,CT,FALSE,0,8,0.940252133,7,0,0,FALSE
UA_000051,2025-01-08,TT,FALSE,0,12,1.347615109,11,944000,3,TRUE
UA_000052,2025-01-08,TC,TRUE,1,11,1.446046121,10,0,0,FALSE
UA_000053,2025-01-08,CT,FALSE,0,4,0.901849951,3,0,0,FALSE
UA_000054,2025-01-08,CT,FALSE,0,7,1.050714043,6,0,0,FALSE
UA_000055,2025-01-08,TC,TRUE,1,16,0.939398388,15,22000,1,TRUE
UA_000056,2025-01-09,CT,FALSE,0,14,0.938227506,13,135000,1,TRUE
UA_000057,2025-01-09,TT,FALSE,0,6,0.808122036,5,0,0,FALSE
UA_000058,2025-01-09,CT,FALSE,0,22,0.899311031,21,0,0,FALSE
UA_000059,2025-01-09,TC,FALSE,0,7,1.179830496,6,0,0,FALSE
UA_000060,2025-01-09,TT,FALSE,0,7,0.808398249,6,0,0,FALSE
UA_000061,2025-01-09,TT,FALSE,0,11,0.901091456,10,0,0,FALSE
UA_000062,2025-01-09,TT,FALSE,0,7,0.660578259,6,0,0,FALSE
UA_000063,2025-01-09,TT,TRUE,1,14,0.857484067,13,0,0,FALSE
UA_000064,2025-01-09,CC,TRUE,1,10,0.971825316,9,171000,1,TRUE
UA_000065,2025-01-09,TC,FALSE,0,7,0.743578232,6,0,0,FALSE
UA_000066,2025-01-09,CC,FALSE,0,26,0.94653847,25,0,0,FALSE
UA_000067,2025-01-09,TT,FALSE,0,8,0.892408341,7,0,0,FALSE
UA_000068,2025-01-09,CT,TRUE,1,13,1.094221322,12,0,0,FALSE
UA_000069,2025-01-09,CC,FALSE,0,11,0.936729297,10,0,0,FALSE
UA_000070,2025-01-09,CC,FALSE,0,12,0.843365539,11,0,0,FALSE
UA_000071,2025-01-09,CT,FALSE,0,12,1.471731248,11,0,0,FALSE
UA_000072,2025-01-09,CT,FALSE,0,11,1.208327396,10,0,0,FALSE
UA_000073,2025-01-09,CT,FALSE,0,6,0.469807532,5,0,0,FALSE
UA_000074,2025-01-09,CT,FALSE,0,13,0.920403052,12,0,0,FALSE
UA_000075,2025-01-09,TT,FALSE,0,10,0.752339126,9,0,0,FALSE
UA_000076,2025-01-09,TC,FALSE,0,9,0.940847918,8,0,0,FALSE
UA_000077,2025-01-09,TT,FALSE,0,13,0.907576297,12,104000,1,TRUE
UA_000078,2025-01-09,TT,FALSE,0,13,0.942207568,12,0,0,FALSE
UA_000079,2025-01-09,CT,FALSE,0,6,0.578087828,5,0,0,FALSE
UA_000080,2025-01-09,CC,FALSE,0,6,1.072574553,5,0,0,FALSE
UA_000081,2025-01-10,CT,FALSE,0,10,0.740591962,9,0,0,FALSE
UA_000082,2025-01-10,TC,FALSE,0,1,,,0,0,FALSE
UA_000083,2025-01-10,TT,FALSE,0,9,0.944154951,8,0,0,FALSE
UA_000084,2025-01-10,CT,FALSE,0,2,,1,0,0,FALSE
UA_000085,2025-01-10,TT,FALSE,0,7,0.607906385,6,0,0,FALSE
UA_000086,2025-01-10,CC,FALSE,0,9,0.954706156,8,0,0,FALSE
UA_000087,2025-01-10,TC,FALSE,0,10,1.11136272,9,335000,1,TRUE
UA_000088,2025-01-10,TT,FALSE,0,11,0.553283335,10,525000,2,TRUE
UA_000089,2025-01-10,TC,FALSE,0,9,1.319932658,8,0,0,FALSE
UA_000090,2025-01-10,CC,FALSE,0,13,0.665864213,12,0,0,FALSE
UA_000091,2025-01-10,TT,FALSE,0,7,0.750510031,6,0,0,FALSE
UA_000092,2025-01-10,TC,FALSE,0,10,1.18972877,9,0,0,FALSE
